run,scheme,seed_imp,seed_model,seed_eval,ate_hat,cate_sd_test,cate_iqr_test,mi_ate_sd,mi_ate_iqr,mi_B,M_imputations,n_test
35,vary_model,202,207670460,404,0.065409022474091,0.04504838616709559,0.06423019444317166,0.0,0.0,0.0,1,480
36,vary_model,202,872107328,404,0.0677921339031271,0.05289937670115746,0.07771845271510298,0.0,0.0,0.0,1,480
37,vary_model,202,2078394912,404,0.058703719947922166,0.060670447573530024,0.08687025178208081,0.0,0.0,0.0,1,480
38,vary_model,202,2043260884,404,0.0519670402946199,0.044194135484291526,0.05936976678615076,0.0,0.0,0.0,1,480
39,vary_model,202,461717654,404,0.04028072825405606,0.04764475923364837,0.06525434495184401,0.0,0.0,0.0,1,480
40,vary_model,202,16301541,404,0.00286660295516408,0.05283743652198733,0.07459166904363138,0.0,0.0,0.0,1,480
41,vary_model,202,1442604701,404,0.08585591415609758,0.047039824940613595,0.0639732874418851,0.0,0.0,0.0,1,480
42,vary_model,202,30628421,404,0.025561311066333265,0.057214791478328926,0.07687131920239113,0.0,0.0,0.0,1,480
43,vary_model,202,645147212,404,0.07270079686151122,0.04214708520029137,0.05508517191337931,0.0,0.0,0.0,1,480
44,vary_model,202,1067425247,404,0.07446827440028506,0.05352764813508562,0.07693824912414733,0.0,0.0,0.0,1,480
45,vary_model,202,1877066119,404,0.04215544771898643,0.043492777663112735,0.05841507179467031,0.0,0.0,0.0,1,480
46,vary_model,202,199408322,404,0.02248801933318705,0.048895233518423106,0.06529262539848102,0.0,0.0,0.0,1,480
47,vary_model,202,1422095321,404,0.07260886435126811,0.06273373772235898,0.079395114701593,0.0,0.0,0.0,1,480
48,vary_model,202,1144680404,404,0.04032186558402636,0.05222390323125196,0.07100049100208093,0.0,0.0,0.0,1,480
49,vary_model,202,282642812,404,0.06757130980330732,0.05559875040156267,0.08378306009048836,0.0,0.0,0.0,1,480
50,vary_model,202,1815944263,404,0.08805961978726652,0.044362627269142994,0.061272332725556426,0.0,0.0,0.0,1,480
51,vary_model,202,1814783284,404,-0.0004109202493923724,0.05210425209941181,0.07432551873009628,0.0,0.0,0.0,1,480
52,vary_model,202,1036586537,404,0.06039507660975918,0.06536670776641787,0.09106247630056813,0.0,0.0,0.0,1,480
53,vary_model,202,2029260744,404,0.07646839029500015,0.049925622361564594,0.07023765210939761,0.0,0.0,0.0,1,480
54,vary_model,202,1303231670,404,0.007594421294129369,0.05776796446800076,0.07876668372809821,0.0,0.0,0.0,1,480
55,vary_model,202,1941146520,404,0.06913724338280262,0.04073173090269982,0.05729418585902102,0.0,0.0,0.0,1,480
56,vary_model,202,2062839176,404,0.04647445248620411,0.060652757645808165,0.08772648330203002,0.0,0.0,0.0,1,480
57,vary_model,202,1223462553,404,0.048376777359319605,0.0391452020123239,0.05627083171933752,0.0,0.0,0.0,1,480
58,vary_model,202,603127999,404,0.048144871359099096,0.059281450027017964,0.07837810298522994,0.0,0.0,0.0,1,480
59,vary_model,202,312372872,404,0.058707541060122694,0.04435035242746139,0.060288003965912704,0.0,0.0,0.0,1,480
60,vary_model,202,1208707449,404,0.05365798005306955,0.045494823781422486,0.06174309588246828,0.0,0.0,0.0,1,480
61,vary_model,202,413312208,404,0.029397472200040853,0.04830380831874993,0.07041187666951139,0.0,0.0,0.0,1,480
62,vary_model,202,1611082393,404,0.029110368908869845,0.04102995602179296,0.06143345324324405,0.0,0.0,0.0,1,480
63,vary_model,202,1992662283,404,0.0632675692808528,0.05013367482154815,0.07097843444889604,0.0,0.0,0.0,1,480
64,vary_model,202,527090060,404,0.0822325683159718,0.045277825711250365,0.060262469285120884,0.0,0.0,0.0,1,480
65,vary_model,202,1186112100,404,0.046992749357593906,0.047704218145544125,0.06980980226321308,0.0,0.0,0.0,1,480
66,vary_model,202,105583631,404,0.033507292812887016,0.047489365119755066,0.06600127527613288,0.0,0.0,0.0,1,480
67,vary_model,202,387733538,404,0.020725861983282145,0.06046912658608784,0.0861220200238688,0.0,0.0,0.0,1,480
68,vary_model,202,809968073,404,0.025062177682874744,0.0526321828575624,0.07213442177212923,0.0,0.0,0.0,1,480
69,vary_model,202,1898497723,404,0.040671717928700404,0.04403092331420568,0.057628097174163215,0.0,0.0,0.0,1,480
70,vary_model,202,2082001083,404,0.0718074064989988,0.05010084276386077,0.07515448153773978,0.0,0.0,0.0,1,480
71,vary_model,202,1377764745,404,0.035955836882428635,0.05796920734122369,0.08459134394050571,0.0,0.0,0.0,1,480
72,vary_model,202,1252956126,404,0.03508780209390543,0.04236988409250042,0.06142967443076446,0.0,0.0,0.0,1,480
73,vary_model,202,1223409138,404,0.10284232354969555,0.03975745158820667,0.0527893749563874,0.0,0.0,0.0,1,480
74,vary_model,202,130168482,404,0.08272873738266365,0.05105948469156034,0.06742426097949111,0.0,0.0,0.0,1,480
75,vary_model,202,808071975,404,0.10338531852095793,0.03506030663959812,0.04561099515305528,0.0,0.0,0.0,1,480
76,vary_model,202,2111675071,404,0.0602178886261833,0.04392995952150231,0.059189032833138214,0.0,0.0,0.0,1,480
77,vary_model,202,882519748,404,0.09013353103591099,0.0474622341831341,0.06277041451686355,0.0,0.0,0.0,1,480
78,vary_model,202,458084909,404,0.04300171636699608,0.048955734009600446,0.06563967735049978,0.0,0.0,0.0,1,480
79,vary_model,202,514299168,404,0.0071295191704039045,0.060194435002297486,0.08460065767826924,0.0,0.0,0.0,1,480
80,vary_model,202,1531946085,404,0.04146185544810644,0.03989965560988035,0.06032097455574782,0.0,0.0,0.0,1,480
81,vary_model,202,81727401,404,0.07909270418288633,0.05116575993862765,0.07019452245321756,0.0,0.0,0.0,1,480
82,vary_model,202,2081811441,404,0.03940362058320785,0.04844030539404195,0.06964815703780752,0.0,0.0,0.0,1,480
83,vary_model,202,1881665561,404,0.05346216012800406,0.06264014408128118,0.08118312871250402,0.0,0.0,0.0,1,480
84,vary_model,202,1218766099,404,0.07342037761627168,0.04795894374844083,0.06789950575346468,0.0,0.0,0.0,1,480
85,vary_model,202,1004442992,404,0.07420698915420143,0.04260763514338694,0.06070467774034309,0.0,0.0,0.0,1,480
86,vary_model,202,1635176338,404,0.12050803976553244,0.049076195268003775,0.06469928175734775,0.0,0.0,0.0,1,480
87,vary_model,202,1176037634,404,0.022297683358015553,0.042496072205223244,0.06076024396586875,0.0,0.0,0.0,1,480
88,vary_model,202,1024744532,404,0.054553505387633476,0.05191073589905162,0.07391343468413136,0.0,0.0,0.0,1,480
89,vary_model,202,691840439,404,0.09419299127324485,0.04724308808793106,0.07065255993455458,0.0,0.0,0.0,1,480
90,vary_model,202,959359876,404,0.03802849130875618,0.05668162836501386,0.07671340214991867,0.0,0.0,0.0,1,480
91,vary_model,202,1613457978,404,0.06211725709134964,0.043949349336023034,0.057878394167635835,0.0,0.0,0.0,1,480
92,vary_model,202,118322299,404,-0.0013981093165544925,0.0487699809844689,0.06549826559197591,0.0,0.0,0.0,1,480
93,vary_model,202,54109868,404,0.06321629902597811,0.04237054188552603,0.055959508937132564,0.0,0.0,0.0,1,480
94,vary_model,202,1547041455,404,0.06449034915293755,0.0554787131082467,0.08310919808861142,0.0,0.0,0.0,1,480
95,vary_model,202,799261786,404,0.05402012949737947,0.048799980082294074,0.06854094298507282,0.0,0.0,0.0,1,480
96,vary_model,202,1726001975,404,0.045870001310473946,0.0504689351079328,0.06918721828911842,0.0,0.0,0.0,1,480
97,vary_model,202,65176761,404,0.06072929811552067,0.055034972169965855,0.07548049021331701,0.0,0.0,0.0,1,480
98,vary_model,202,1948207564,404,0.0557453641934333,0.044187729569607065,0.06490230383577897,0.0,0.0,0.0,1,480
99,vary_model,202,263908780,404,0.03537641705257277,0.03774839066256585,0.05235199215665959,0.0,0.0,0.0,1,480
0,vary_eval,202,303,892932601,0.05214201745176788,0.05471080818206111,0.07781674339752413,0.0,0.0,0.0,1,480
1,vary_eval,202,303,2076935019,-0.05299592988600976,0.04972484004771777,0.07233195186294651,0.0,0.0,0.0,1,480
2,vary_eval,202,303,233012133,0.18406033046928852,0.059371454743326106,0.07570173871735444,0.0,0.0,0.0,1,480
3,vary_eval,202,303,1412530411,-0.04857677026328585,0.068845815445001,0.09268648041716612,0.0,0.0,0.0,1,480
4,vary_eval,202,303,1563120100,0.10139960762172494,0.05009208392963066,0.07539199869301302,0.0,0.0,0.0,1,480
5,vary_eval,202,303,919595976,-0.006322386971951042,0.049157183458262595,0.06747462852422545,0.0,0.0,0.0,1,480
6,vary_eval,202,303,169703186,-0.01089278803398278,0.047187788476016845,0.061015157429153165,0.0,0.0,0.0,1,480
7,vary_eval,202,303,1124723317,0.02492832719145006,0.05263348455455777,0.0738331849676747,0.0,0.0,0.0,1,480
8,vary_eval,202,303,930610540,-0.08679059118688769,0.045687315537021544,0.05737998896636027,0.0,0.0,0.0,1,480
9,vary_eval,202,303,1874343502,0.023223514167722385,0.047265883452416654,0.06211036034862462,0.0,0.0,0.0,1,480
10,vary_eval,202,303,1465183648,0.20787927339052803,0.056791898892408946,0.07425443876034407,0.0,0.0,0.0,1,480
11,vary_eval,202,303,739186778,-0.04731040918590373,0.03888020963741748,0.052856256687081965,0.0,0.0,0.0,1,480
12,vary_eval,202,303,124640146,0.18603936702747895,0.04595437903224391,0.06114890041683871,0.0,0.0,0.0,1,480
13,vary_eval,202,303,1267640231,0.005444493344195704,0.042126207403826964,0.061594174791851385,0.0,0.0,0.0,1,480
14,vary_eval,202,303,600425219,0.046360318879261814,0.050897180302449614,0.0665663288968894,0.0,0.0,0.0,1,480
15,vary_eval,202,303,1468201011,-0.05817238104131328,0.04292399903688599,0.06184334752669517,0.0,0.0,0.0,1,480
16,vary_eval,202,303,1855040773,-0.04766334748070397,0.053371716931362424,0.07687355858139093,0.0,0.0,0.0,1,480
17,vary_eval,202,303,763245274,0.06419999390628846,0.0440152511768364,0.06026240651342053,0.0,0.0,0.0,1,480
18,vary_eval,202,303,1939983779,0.24664821497191944,0.050255941395100354,0.06918759868972851,0.0,0.0,0.0,1,480
19,vary_eval,202,303,1114755510,-0.004974663703711746,0.04433880042926765,0.06190074489397125,0.0,0.0,0.0,1,480
20,vary_eval,202,303,1139953098,-0.11498926673213943,0.035609525749329206,0.05429871857436537,0.0,0.0,0.0,1,480
21,vary_eval,202,303,1643356241,0.07744543145287176,0.0535747219774177,0.07514951963613048,0.0,0.0,0.0,1,480
22,vary_eval,202,303,1694640500,0.048152480356875395,0.050649215325955524,0.0700453508685015,0.0,0.0,0.0,1,480
23,vary_eval,202,303,1952447708,0.0819835246890738,0.05366705338344004,0.07254580903474109,0.0,0.0,0.0,1,480
24,vary_eval,202,303,2145723506,0.16820004466068983,0.06327116607729709,0.09065859596440817,0.0,0.0,0.0,1,480
25,vary_eval,202,303,324403772,0.18312182956310077,0.03753354658064965,0.04953542327393587,0.0,0.0,0.0,1,480
26,vary_eval,202,303,886051817,-0.10949148147646988,0.048987824966426875,0.06712040072656753,0.0,0.0,0.0,1,480
